timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1675260000000,23086.78,23096.26,23079.43,23086.05,514.46336,1675260299999,11878133.7283934,16263,259.67948,5995746.5475786,0
1675260300000,23086.05,23090.49,23078.02,23083.24,759.71412,1675260599999,17537159.4868734,20123,382.04415,8819271.2979212,0
1675260600000,23082.3,23102.94,23078.89,23099.89,962.84936,1675260899999,22235581.2289748,23222,527.93069,12192172.2945903,0
1675260900000,23099.89,23122.0,23099.4,23119.99,876.57823,1675261199999,20258194.6128299,23310,479.82746,11089197.1117863,0
1675261200000,23119.41,23138.19,23118.75,23131.06,958.16868,1675261499999,22159834.9238315,24704,497.51108,11506219.4285336,0
1675261500000,23131.84,23135.32,23088.01,23092.1,1051.14555,1675261799999,24293894.87349,27371,478.40923,11057157.5578326,0
1675261800000,23092.1,23114.62,23054.28,23061.23,2209.94497,1675262099999,51023145.780732,44785,1002.93892,23157240.4012425,0
1675262100000,23061.23,23077.99,23028.88,23072.13,1886.50749,1675262399999,43494136.4385613,44912,931.66153,21480407.0080198,0
1675262400000,23072.14,23125.66,23058.77,23118.4,1478.0312,1675262699999,34134725.2746576,38974,804.3076,18575578.5281389,0
1675262700000,23117.05,23144.85,23108.86,23137.55,1776.62865,1675262999999,41096625.4356506,41167,932.90172,21580155.951497,0
1675263000000,23137.55,23142.0,23111.32,23112.87,988.2561,1675263299999,22857152.9479176,28318,472.65521,10932346.6293874,0
1675263300000,23112.86,23128.74,23091.14,23101.0,1056.6827,1675263599999,24415709.2932018,29513,514.80933,11895314.392233,0
1675263600000,23101.0,23111.78,23032.37,23059.67,2669.96429,1675263899999,61613503.2433528,56325,1285.29381,29661013.8792719,0
1675263900000,23060.0,23077.84,23031.91,23053.7,1458.76998,1675264199999,33632174.5387453,36922,726.99269,16761569.7481622,0
1675264200000,23053.7,23076.98,23050.91,23075.08,1150.89291,1675264499999,26545679.4080327,29055,583.62496,13461869.76465,0
1675264500000,23074.15,23084.19,23034.16,23045.86,1345.8895,1675264799999,31030670.0354074,32198,609.43993,14051804.6259851,0
1675264800000,23046.65,23056.55,23018.05,23032.37,1300.42441,1675265099999,29956306.727325,34159,610.23697,14057718.5594508,0
1675265100000,23032.92,23048.31,23018.16,23045.53,1070.96755,1675265399999,24666093.7280648,30794,539.03907,12415453.6657677,0
1675265400000,23045.52,23061.94,23037.14,23052.51,1097.07806,1675265699999,25290708.3078262,28809,573.91235,13230499.9183088,0
1675265700000,23051.79,23052.67,23020.0,23034.98,1012.98016,1675265999999,23333663.3055517,26220,502.49377,11575025.2533315,0
1675266000000,23034.98,23053.2,23007.35,23012.19,1114.98848,1675266299999,25681248.0700803,26904,519.50337,11966282.8072573,0
1675266300000,23012.3,23025.87,22962.96,22982.24,2566.93708,1675266599999,59020223.3097903,51245,1206.4289,27739358.172673,0
1675266600000,22983.31,23012.0,22953.23,22988.54,1881.77392,1675266899999,43248223.5214306,41918,915.53921,21042100.6432349,0
1675266900000,22988.54,23002.0,22938.36,22979.73,1488.90621,1675267199999,34209126.8594641,35543,716.14217,16454734.4216135,0
1675267200000,22979.73,23003.7,22946.32,22983.77,1007.4074,1675267499999,23151249.4720876,27823,484.65006,11138840.3335172,0
1675267500000,22983.75,23004.75,22980.16,22990.89,462.26703,1675267799999,10629191.2920515,18127,221.46688,5092363.5744501,0
1675267800000,22991.01,23025.37,22986.4,23015.77,645.76227,1675268099999,14860112.9559897,22108,340.48222,7834973.4916007,0
1675268100000,23015.86,23029.37,23010.46,23016.93,480.40812,1675268399999,11059744.9258637,17796,234.74119,5404259.8926448,0
1675268400000,23016.93,23035.75,23013.45,23031.89,695.49037,1675268699999,16013773.8277441,21523,379.51289,8738438.8996339,0
1675268700000,23031.32,23036.63,23004.31,23015.45,741.56082,1675268999999,17071677.6687255,21950,368.06956,8473472.8058944,0
1675269000000,23015.45,23015.71,22995.68,23009.12,636.68975,1675269299999,14647931.1170625,20040,307.26768,7069308.9320575,0
1675269300000,23009.77,23014.0,22982.74,23010.7,474.15107,1675269599999,10904673.1031952,19186,243.70262,5604894.2687254,0
1675269600000,23010.33,23017.0,23003.34,23007.48,345.7348,1675269899999,7955764.6392946,13989,170.27073,3918187.7882331,0
1675269900000,23006.75,23011.42,22989.35,22989.37,476.61324,1675270199999,10962500.4583619,17689,204.27163,4698524.9288158,0
1675270200000,22989.76,22995.12,22918.2,22970.38,840.99373,1675270499999,19313159.5437061,26099,370.66471,8512233.9902883,0
1675270500000,22969.51,23007.41,22946.24,22999.85,760.35431,1675270799999,17471643.4278533,24308,448.21106,10299752.7672282,0
1675270800000,23000.62,23005.67,22973.66,22974.56,487.72405,1675271099999,11213157.8598133,18664,210.38021,4836896.4976186,0
1675271100000,22975.08,22986.76,22968.1,22971.19,456.97889,1675271399999,10498856.5194947,16225,222.09759,5102694.5310971,0
1675271400000,22971.2,22988.46,22970.31,22977.89,478.14329,1675271699999,10987073.3627128,17518,237.05721,5447280.8072183,0
1675271700000,22977.89,22990.13,22970.0,22979.61,550.6214,1675271999999,12653637.7446366,17280,246.84485,5672705.7008749,0
1675272000000,22980.31,23038.93,22979.61,23029.47,785.60263,1675272299999,18082703.3994495,24885,451.48991,10391522.9242651,0
1675272300000,23029.47,23029.49,23002.0,23011.94,553.60142,1675272599999,12742270.6280716,17629,258.68741,5954402.8776414,0
1675272600000,23011.35,23021.86,23002.44,23008.38,460.64786,1675272899999,10600612.65924,16776,228.04809,5248077.5396078,0
1675272900000,23008.39,23015.21,22979.65,22994.64,649.62639,1675273199999,14940047.8049507,19151,291.28856,6699334.6264129,0
1675273200000,22994.65,23006.9,22971.7,22977.19,612.4491,1675273499999,14079660.7985836,20348,293.99536,6758936.6810638,0
1675273500000,22977.19,22998.58,22929.0,22993.31,1551.10355,1675273799999,35623785.4417023,39779,778.35225,17877254.1845911,0
1675273800000,22992.2,23001.99,22959.86,22992.64,888.45671,1675274099999,20422885.4303607,23846,428.07595,9840420.4064545,0
1675274100000,22992.63,23003.68,22972.03,22994.27,773.1267,1675274399999,17774087.6924157,21638,411.72417,9465564.6332537,0
1675274400000,22993.32,23006.94,22982.78,23003.32,756.30923,1675274699999,17391594.9883613,20437,397.50576,9141563.3441692,0
